//			자리	속성	사냥터 (캐릭터검색좌표 - 범위)				버프좌표 		사냥터입구좌표		사냥좌표				Gate Number	
// Map Inde					시작 X	시작 Y	종료 X	종료 Y	X	Y	X	Y	X	Y				
// UI 기능 처리 및 사냥터 난이도 순서 (No Index 낮을 수록 하위사냥터)																		
// NO Index	Moverep Index	Name	속성 사냥터여부	메인자리 조건														
0																		
0	49	"Deventer"	1	1														
1	49	"Uruk Mountain"	1	1														
2	49	"Nars"	1	1														
3	50	"Ferea"	1	1														
4	51	"Nixies Lake"	1	1														
5	52	"Deep Dungeon 1"	1	1														
6	53	"Deep Dungeon 2"	1	1														
7	54	"Deep Dungeon 3"	1	1														
8	55	"Deep Dungeon 4"	1	1														
9	56	"Deep Dungeon 5"	1	1														
10	57	"Swamp of Darkness"	1	1														
11	58	"Kubera Mines"	1	1														
12	58	"Kubera Mines(Abandoned mine)"	1	1														
13	59	"Abyss Atlans 1"	1	1														
14	60	"Abyss Atlans 2"	1	1														
15	61	"Abyss Atlans 3"	1	0														
16	62	"Scorched Canyon(Low)"	1	1														
17	62	"Scorched Canyon(High)"	1	1														
18	63	"Scarlet Icarus"	1	1														
end																		
//			자리	속성	사냥터 (캐릭터검색좌표 - 범위)				버프좌표 		사냥터입구좌표		사냥좌표		타채널 생성좌표		사냥이동Gate	안전지대 Gate
// Map Index	no Index				시작 X	시작 Y	종료 X	종료 Y	X	Y	X	Y	X	Y	X	Y		
1																		
//자리별인덱스		 Map Index			시작 X	시작 Y	종료 X	종료 Y	X	Y	X	Y	X	Y	X	Y	사냥이동Gate	안전지대 Gate
// 아케론 데벤테르																		
0	0	95	0	1	180	87	206	107	50	80	198	75	190	98	20	104	436	417
1	0	95	0	2	218	68	247	100	50	80	205	76	239	83	21	104	436	417
2	0	95	0	3	227	30	248	63	50	80	210	57	242	39	22	104	436	417
3	0	95	0	4	52	3	70	27	50	80	51	37	60	12	23	104	436	417
4	0	95	0	5	108	3	127	22	50	80	118	29	118	10	24	104	436	417
5	0	95	1	1	26	49	43	71	50	80	50	67	33	60	19	103	436	417
6	0	95	1	2	22	17	37	35	50	80	45	32	27	25	19	106	436	417
7	0	95	1	3	74	49	103	71	50	80	109	56	84	61	19	101	436	417
8	0	95	1	4	217	6	232	28	50	80	214	34	224	15	19	100	436	417
9	0	95	1	5	198	1	212	22	50	80	187	15	204	14	19	99	436	417
// 아케론 우르크산																		
10	1	100	0	1	87	60	108	84	25	88	118	67	96	70	25	90	451	417
11	1	100	0	2	67	118	88	139	107	225	94	130	76	131	108	225	459	417
12	1	100	0	3	203	206	223	225	107	225	216	195	213	217	109	225	459	417
13	1	100	0	4	157	46	171	66	212	31	152	48	165	55	213	31	455	417
14	1	100	0	5	198	103	215	123	212	31	184	105	207	114	214	31	455	417
15	1	100	1	1	76	87	96	108	25	88	102	110	85	94	24	91	451	417
16	1	100	1	2	99	191	118	207	107	225	122	209	107	199	107	226	459	417
17	1	100	1	3	170	184	189	200	107	225	165	206	180	192	107	227	459	417
18	1	100	1	4	155	75	172	89	212	31	180	89	164	82	212	32	455	417
19	1	100	1	5	189	125	209	142	212	31	184	120	202	133	212	33	455	417
// 아케론 나르스 (재확인 팰요)																		
20	2	110	0	1	80	23	95	48	127	29	107	21	87	34	128	29	496	417
21	2	110	0	2	69	217	90	242	34	198	62	228	79	230	35	198	500	417
27	2	110	0	3	122	193	136	206	213	194	143	207	129	197	215	193	488	417
23	2	110	0	4	220	24	240	41	213	194	212	41	227	32	216	193	488	417
24	2	110	0	5	114	78	130	93	127	29	131	71	119	86	128	29	496	417
25	2	110	1	1	88	5	103	20	127	29	109	19	94	11	127	30	496	417
26	2	110	1	2	10	126	24	143	34	198	28	143	17	133	34	199	500	417
22	2	110	1	3	112	227	129	244	213	194	136	230	120	234	213	195	488	417
28	2	110	1	4	207	98	224	114	213	194	222	91	217	106	213	196	488	417
29	2	110	1	5	121	49	139	65	127	29	116	44	130	61	127	30	496	417
// 페리아																		
30	3	112	0	1	178	204	192	228	190	183	187	193	184	216	202	155	519	509
31	3	112	0	2	5	225	23	246	82	226	34	235	15	237	83	226	517	509
32	3	112	0	3	206	51	221	68	221	137	226	61	213	60	231	143	511	509
33	3	112	0	4	174	63	192	81	190	130	170	57	185	73	203	155	519	509
34	3	112	0	5	17	49	32	65	107	67	23	42	24	56	108	67	513	509
35	3	112	1	1	162	184	180	202	190	183	186	192	171	193	201	156	519	509
36	3	112	1	2	24	173	39	191	82	226	32	198	31	181	82	227	517	509
37	3	112	1	3	134	8	150	27	107	67	156	31	142	19	231	144	511	509
38	3	112	1	4	132	131	152	152	190	130	152	120	141	142	201	157	519	509
39	3	112	1	5	109	10	128	27	107	67	118	37	119	19	107	68	513	509
// 닉시스 호수																		
40	4	113	0	1	47	6	65	24	47	118	54	32	56	16	25	118	524	522
41	4	113	0	2	194	96	206	110	149	85	207	88	200	99	150	85	528	522
42	4	113	0	3	130	145	148	164	149	85	118	159	136	156	151	85	528	522
43	4	113	0	4	228	121	242	142	149	85	214	146	232	130	152	85	528	522
44	4	113	0	5	135	5	152	21	149	85	137	31	144	14	153	85	528	522
45	4	113	1	1	9	14	23	31	47	118	32	27	18	22	24	119	524	522
46	4	113	1	2	223	4	238	20	149	85	226	28	230	14	149	86	528	522
47	4	113	1	3	72	229	90	245	149	85	73	218	78	236	149	87	528	522
48	4	113	1	4	170	208	185	227	149	85	194	212	181	216	149	88	528	522
