/////////////////////////////////////////////////////////////////////////												
// 최초 적용일	Season11 P.2											
// 스크립트 사용	클라이언트/서버 공용											
// 스크립트 이름	SeedSphereUpgread											
// 문서 버전	0.0.0.1											
// 최종 작업자	사재일											
// 최종 작업일	2016-06-13 16:13											
// 작업 내용	시드스피어강화											
/////////////////////////////////////////////////////////////////////////												
// 0번 테이블은 강화대상 시드스피어 및 IDfmf 등록한다.												
// 1번 테이블은 조합 ID에 따른 서브재료 시드스피어를 등록한다.												
// 2번 테이블은 조합 ID에 따른 시드스피어 아이템의 설정을 등록한다.												
// 3번 테이블은 조합 ID에 따른 확률 및 젠의 설정을 등록한다. 												
// 4번 테이블은 성공 시 조합 ID에 따른 결과물을 등록한다.												
//메인재료 (강화대상 아이템)												
0												
//ID	ItemType(Main)	ItemIndex(Main)										
0	12	100										
1	12	101										
2	12	102										
3	12	103										
4	12	104										
5	12	105										
6	12	106										
7	12	107										
8	12	108										
9	12	109										
10	12	110										
11	12	111										
12	12	112										
13	12	113										
14	12	114										
15	12	115										
16	12	116										
17	12	117										
18	12	118										
19	12	119										
20	12	120										
21	12	121										
22	12	122										
23	12	123										
24	12	124										
25	12	125										
26	12	126										
27	12	127										
28	12	128										
29	12	129										
30	12	311										
31	12	312										
32	12	313										
33	12	314										
34	12	315										
35	12	316										
36	12	317										
37	12	318										
38	12	319										
39	12	320										
40	12	321										
41	12	322										
42	12	323										
43	12	324										
44	12	325										
45	12	326										
46	12	327										
47	12	328										
48	12	329										
49	12	330										
50	12	331										
51	12	332										
52	12	333										
53	12	334										
//54	12	335										
//55	12	336										
//56	12	337										
//57	12	338										
//58	12	339										
//59	12	340										
//60	12	341										
//61	12	342										
//62	12	343										
//63	12	344										
//64	12	345										
//65	12	346										
//66	12	347										
//67	12	348										
//68	12	349										
//69	12	350										
//70	12	351										
//71	12	352										
//72	12	353										
//73	12	354										
//74	12	355										
//75	12	356										
//76	12	357										
//77	12	358										
//78	12	359										
//79	12	360										
//80	12	361										
//81	12	362										
