////////////////////////////////////////////////////////////////////////////////					Flag							
// 	[Text Ver]	1.1.8.0										
//	[작업자]	박혜진										
//	[작업일]	2016-09-08 01:45 pm										
//	[작업 내용]	닉시스 호수 게이트 추가										
////////////////////////////////////////////////////////////////////////////////												
//GateNumber	Flag	MapNumber	x	y	x2	y2	Target gate	Dir	MinLevel	MaxLevel	GoToGate	
0	0	0	0	0	0	0	0	0	0	0	17	// 
//일반 필드												
1	0	0	121	232	123	233	2	0	20	-1	-1	
2	0	1	107	247	110	247	0	1	20	-1	17	//
										 		
3	0	1	108	248	109	248	4	0	0	-1	-1	
4	0	0	121	231	123	231	0	1	0	-1	-1	//
										 		
5	0	1	239	149	239	150	6	0	20	-1	-1	
6	0	1	231	126	234	127	0	1	20	-1	-1	//
										 		
7	0	1	232	127	233	128	8	0	20	-1	-1	
8	0	1	240	148	241	151	0	3	20	-1	-1	//
										 		
9	0	1	2	17	2	18	10	0	20	-1	-1	
10	0	1	3	83	4	86	0	3	20	-1	-1	//
										 		
11	0	1	2	84	2	85	12	0	20	-1	-1	
12	0	1	3	16	6	17	0	3	20	-1	-1	//
										 		
13	0	1	5	34	6	34	14	0	20	-1	-1	
14	0	1	29	125	30	126	0	1	20	-1	-1	//
										 		
15	0	1	29	127	30	127	16	0	20	-1	-1	
16	0	1	5	32	7	33	0	1	20	-1	-1	//
										 		
17	0	0	133	118	151	135	0	0	0	-1	-1	//
										 		
18	0	0	5	38	6	41	19	0	10	-1	-1	
19	0	2	242	34	243	37	0	7	10	-1	22	//
										 		
20	0	2	244	34	245	37	21	0	0	-1	-1	
21	0	0	7	38	8	41	0	3	0	-1	-1	//
										 		
22	0	2	197	35	218	50	0	0	10	-1	-1	//
										 		
23	0	0	213	246	217	247	24	0	10	-1	-1	
24	0	3	150	9	153	10	0	5	10	-1	27	//
										 		
25	0	3	150	6	153	7	26	0	10	-1	-1	
26	0	0	213	244	217	245	0	1	10	-1	-1	//
												
27	0	3	171	108	177	117	0	0	0	-1	-1	//
										 		
28	0	2	4	247	5	248	29	0	40	-1	-1	
29	0	4	162	2	166	3	0	5	40	-1	42	//
										 		
30	0	4	190	6	191	8	31	0	40	-1	-1	
31	0	4	241	237	244	238	0	1	40	-1	-1	//
										 		
32	0	4	166	163	167	166	33	0	40	-1	-1	
33	0	4	86	166	87	168	0	3	40	-1	-1	//
										 		
34	0	4	132	245	135	246	35	0	50	-1	-1	
35	0	4	87	86	88	89	0	3	50	-1	-1	//
										 		
36	0	4	132	135	135	136	37	0	50	-1	-1	
37	0	4	128	53	131	54	0	1	50	-1	-1	//
										 		
38	0	4	131	15	132	18	39	0	50	-1	-1	
39	0	4	52	53	55	54	0	1	50	-1	-1	//
										 		
40	0	4	6	5	7	8	41	0	50	-1	-1	
41	0	4	8	85	9	87	0	1	50	-1	-1	//
										 		
42	0	4	203	70	213	81	0	0	40	-1	-1	//
										 		
43	0	4	162	0	166	1	44	0	10	-1	-1	//
44	0	2	5	244	7	246	0	2	10	-1	-1	
										 		
45	0	3	242	240	245	243	46	0	50	220	-1	
46	0	7	14	12	15	13	0	3	50	220	49	//
										 		
47	0	7	9	9	11	12	48	0	50	-1	-1	
48	0	3	240	240	241	243	0	7	50	-1	-1	//
										 		
49	0	7	15	11	27	23	0	0	50	-1	-1	//
										 		
50	0	6	72	140	73	181	0	0	0	-1	-2	//
51	0	6	59	153	59	153	0	0	0	-1	-2	//
52	0	6	59	164	59	165	0	0	0	-1	-2	//
												
//45	0	0	150	144	150	144	46	0	0	-1	-1	
//6	0	5	90	134	90	134	0	2	0	-1	-1	//
												
//47	0	5	91	133	91	133	48	0	0	-1	-1	
//48	0	0	149	144	149	144	0	2	0	-1	-1	//
												
53	0	7	14	225	15	230	54	0	130	-1	-1	
54	0	8	248	40	251	44	0	7	0	-1	57	//
												
55	0	8	246	40	247	44	56	0	130	220	-1	
56	0	7	16	225	17	230	0	3	0	220	-1	//
												
57	0	8	189	63	205	72	0	0	60	-1	-1	//
												
//광장												
58	0	9	133	91	141	99	0	0	10	-1	-2	
