//Index	File	PosX	PosY	PosZ	RotX	RotY	RotZ	Scale	Node	ParentRotation
30	Data\Effect\twinkle11-yellow01.ein	0	0	30	0	0	0	300	8	1
15	Data\Effect\twinkle11-yellow01.ein	0	0	70	0	0	0	200	2	1
109	Data\Effect\twister09-yellow01.ein	0	0	0	0	0	0	230	20	1
162	Data\Effect\fire09-red01.ein	0	0	0	0	0	0	50	0	1	
162	Data\Effect\twinkle12-red01.ein	0	0	50	0	0	0	260	0	1
162	Data\Effect\smoke11-red01.ein	0	0	0	0	0	0	50	0	1
163	Data\Effect\smoke12-red01.ein	0	0	0	0	0	0	50	0	1
94	Data\Effect\twinkle13-red01.ein	0	0	-8	0	0	0	30	0	1
118	Data\Effect\twister09-yellow01.ein	0	0	0	0	0	0	230	20	1
119	Data\Effect\twister09-yellow01.ein	0	0	0	0	0	0	230	20	1
120	Data\Effect\twister09-yellow01.ein	0	0	0	0	0	0	230	20	1
121	Data\Effect\twister09-yellow01.ein	0	0	0	0	0	0	230	20	1
99	Data\Effect\twinkle03-white01.ein	0	0	0	0	0	0	30	6	1
99	Data\Effect\twinkle03-white01.ein	0	0	0	0	0	0	30	8	1
99	Data\Effect\twinkle03-white01.ein	0	0	0	0	0	0	50	12	1
99	Data\Effect\twinkle03-white01.ein	0	0	0	0	0	0	50	10	1
164	Data\Effect\haze02-cyan01.ein	0	0	0	0	0	0	100	0	1
165	Data\Effect\sparkle16-white01.ein	0	0	0	0	0	0	100	0	1
166	Data\Effect\sparkle17-cyan01.ein	0	0	0	0	0	0	150	0	1
167	Data\Effect\sparkle18-cyan01.ein	0	0	0	0	0	0	150	0	1
132	Data\Effect\twinkle13-red01.ein	0	0	-8	0	0	0	30	16	1
134	Data\Effect\twinkle13-red01.ein	0	0	-8	0	0	0	30	14	1
135	Data\Effect\twinkle13-red01.ein	0	0	-8	0	0	0	30	16	1
140	Data\Effect\twister09-yellow01.ein	0	0	0	0	0	0	150	4	1
145	Data\Effect\twinkle14-blue01.ein	0	0	0	0	0	0	60	73	1
145	Data\Effect\twinkle14-blue01.ein	0	0	0	0	0	0	60	74	1
145	Data\Effect\twinkle14-blue01.ein	15	10	0	0	0	0	45	73	1
145	Data\Effect\twinkle14-blue01.ein	-15	10	0	0	0	0	45	74	1
168	Data\Effect\haze11-blue01.ein	0	0	0	0	0	0	200	0	1
169	Data\Effect\haze11-blue02.ein	0	0	0	0	0	0	200	0	1
170	Data\Effect\haze11-yellow01.ein	0	0	0	0	0	0	200	0	1
158	Data\Effect\twinkle13-red01.ein	0	0	-8	0	0	0	30	17	1
160	Data\Effect\twister09-yellow01.ein	0	0	0	0	0	0	230	20	1
