//Index	File	PosX	PosY	PosZ	RotX	RotY	RotZ	Scale	Node	ParentRotation
161	Data\Effect\fire01-red01.ein	0	0	0	0	0	0	50	0	1
161	Data\Effect\twinkle10-red01.ein	0	0	60	0	0	0	300	0	1
162	Data\Effect\smoke06-white01.ein	0	0	0	0	50	0	300	0	1
163	Data\Effect\fog02-green01.ein	0	0	0	0	0	0	300	0	1
165	Data\Effect\haze01-magenta01.ein	0	0	0	0	0	0	100	0	1
166	Data\Effect\fog02-blue01.ein	0	0	0	0	0	0	300	0	1
167	Data\Effect\smoke09-red01.ein	0	0	0	0	0	0	50	0	1
168	Data\Effect\sparkle04-blue01.ein	0	0	0	0	-90	0	100	0	1
169	Data\Effect\sparkle07-white01.ein	0	0	0	0	0	0	100	0	1
170	Data\Effect\haze03-white01.ein	0	0	0	0	0	0	100	0	1
171	Data\Effect\fire08-blue01.ein	0	0	0	0	0	0	100	0	1
171	Data\Effect\twinkle10-blue01.ein	0	0	80	0	0	0	300	0	1
172	Data\Effect\smoke10-magenta01.ein	0	0	0	0	0	0	100	0	1
173	Data\Effect\twister02-green01.ein	0	0	0	0	0	0	100	0	1
173	Data\Effect\twister03-green01.ein	0	0	0	0	0	0	20	0	1
174	Data\Effect\twister02-cyan01.ein	0	0	0	0	0	0	100	0	1
174	Data\Effect\twister03-cyan01.ein	0	0	0	0	0	0	20	0	1
107	Data\Effect\Twinkle05-red02.ein	0	0	0	0	-50	0	130	6	1
108	Data\Effect\Twinkle05-red02.ein	0	0	0	0	-50	0	130	6	1
107	Data\Effect\Twinkle05-yellow01.ein	0	0	0	0	-50	0	200	6	1
108	Data\Effect\Twinkle05-yellow01.ein	0	0	0	0	-50	0	200	6	1
26	Data\Effect\Twinkle05-green01.ein	0	0	0	0	0	0	84	1	1
26	Data\Effect\twinkle09-green01.ein	0	0	0	0	0	0	168	1	1
26	Data\Effect\sparkle15-green01.ein	3	0	-6	0	160	0	168	1	1
26	Data\Effect\sparkle15-green01.ein	-3	0	-6	0	-160	0	168	2	1
26	Data\Effect\Twinkle05-green01.ein	0	0	0	0	0	0	84	2	1
26	Data\Effect\twinkle09-green01.ein	0	0	0	0	0	0	168	2	1
59	Data\Effect\Twinkle05-blue01.ein	-3	11	10	0	0	0	50	0	1
88	Data\Effect\Twinkle05-yellow01.ein	0	0	0	0	-50	0	200	6	1
