//spellStone(마정석 생석에 관한 스크립트)																	
0																	
//type	index	기준 젠 가격(나누기)		개수설정													
12	404	20000	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
12	405	500000	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
12	406	50000	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
end																	
1	//하급마정석: 5%		5%														
//	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14		
0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//	10000
4	8500	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	//	10000
14	0	0	5500	4500	0	0	0	0	0	0	0	0	0	0	0	//	10000
22	0	0	0	1000	8500	500	0	0	0	0	0	0	0	0	0	//	10000
30	0	0	0	0	0	1000	8500	500	0	0	0	0	0	0	0	//	10000
40	0	0	0	0	0	0	0	1000	8500	500	0	0	0	0	0	//	10000
60	0	0	0	0	0	0	0	0	1000	8000	1000	0	0	0	0	//	10000
end																	
2	//중급마정석: 5%		5%														
//	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14		
0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//	10000
24	0	9500	500	0	0	0	0	0	0	0	0	0	0	0	0	//	10000
54	0	500	9000	500	0	0	0	0	0	0	0	0	0	0	0	//	10000
84	0	0	500	9000	500	0	0	0	0	0	0	0	0	0	0	//	10000
119	0	0	0	500	9000	500	0	0	0	0	0	0	0	0	0	//	10000
150	0	0	0	0	500	9000	500	0	0	0	0	0	0	0	0	//	10000
184	0	0	0	0	0	500	9000	500	0	0	0	0	0	0	0	//	10000
210	0	0	0	0	0	0	500	9000	500	0	0	0	0	0	0	//	10000
238	0	0	0	0	0	0	0	0	9500	500	0	0	0	0	0	//	10000
end																	
3	//상급마정석: 5%		5%														
//	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14		
0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//	10000
24	0	9500	500	0	0	0	0	0	0	0	0	0	0	0	0	//	10000
54	0	500	9000	500	0	0	0	0	0	0	0	0	0	0	0	//	10000
89	0	0	500	9000	500	0	0	0	0	0	0	0	0	0	0	//	10000
115	0	0	0	500	9000	500	0	0	0	0	0	0	0	0	0	//	10000
145	0	0	0	0	0	9500	500	0	0	0	0	0	0	0	0	//	10000
end																	
