//ID	//Name1	Name2	Opt_1stIndex_1	Opt_2ndIndex_1	Opt_1stIndex_2	Opt_2ndIndex_2	Opt_1stIndex_3	Opt_2ndIndex_3	Opt_1stIndex_4	Opt_2ndIndex_4	Opt_1stIndex_5	Opt_2ndIndex_5	Opt_1stIndex_6	Opt_2ndIndex_6	Opt_1stValue_1	Opt_2ndValue_1	Opt_1stValue_2	Opt_2ndValue_2	Opt_1stValue_3	Opt_2ndValue_3	Opt_1stValue_4	Opt_2ndValue_4	Opt_1stValue_5	Opt_2ndValue_5	Opt_1stValue_6	Opt_2ndValue_6	Opt_1stExIndex	Opt_2ndExIndex	Opt_1stExValue	Opt_2ndExValue	Flag	Full_Index_1	Full_Index_2	Full_Index_3	Full_Index_4	Full_Index_5	Full_Index_6	Full_Index_7	Full_Index_8	Full_Index_9	Full_Value_1	Full_Value_2	Full_Value_3	Full_Value_4	Full_Value_5	Full_Value_6	Full_Value_7	Full_Value_8	Full_Value_9	DW	DK	FE	MG	DL	SU	RF	GL	RW	SL	GC
0			-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
1	Warrior's	Warrior's	0	-1	19	-1	13	-1	14	-1	10	-1	1	-1	10	-1	10	-1	20	-1	5	-1	20	-1	10	-1	-1	-1	-1	-1	8	15	17	0	-1	-1	-1	-1	-1	-1	5	5	25	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	
2	Anonymous's	Anonymous's	11	-1	1	-1	22	-1	-1	-1	-1	-1	-1	-1	50	-1	50	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	8	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	
3	Hyperion's	Hyperion's	2	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	19	12	-1	-1	-1	-1	-1	-1	-1	20	30	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	
4	Mist's	Mist's	3	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	20	1	-1	-1	-1	-1	-1	-1	-1	10	20	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	
5	Eplete's	Eplete's	19	-1	9	-1	7	-1	11	-1	-1	-1	-1	-1	15	-1	50	-1	5	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	13	15	17	-1	-1	-1	-1	-1	-1	30	10	10	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	
6	Berserker's	Berserker's	6	-1	6	-1	6	-1	6	-1	-1	-1	-1	-1	10	-1	20	-1	30	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	19	0	-1	-1	-1	-1	-1	-1	-1	40	40	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	
7	Garuda's	Garuda's	13	-1	20	-1	2	-1	11	-1	-1	-1	-1	-1	30	-1	5	-1	15	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	19	7	-1	-1	-1	-1	-1	-1	-1	25	15	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	
8	Cloud's	Cloud's	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	16	-1	-1	-1	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	
9	Kantata's	Kantata's	2	-1	3	-1	7	-1	0	-1	-1	-1	-1	-1	15	-1	30	-1	10	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	19	17	18	-1	-1	-1	-1	-1	-1	25	10	20	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	
10	Rave's	Rave's	19	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	23	21	-1	-1	-1	-1	-1	-1	-1	30	5	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	
11	Hyon's	Hyon's	10	-1	20	-1	19	-1	-1	-1	-1	-1	-1	-1	25	-1	10	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	15	17	16	18	-1	-1	-1	-1	-1	15	15	20	20	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	
